preprocessed_text,label_sentiment_numbered
a caller to a radio talk show recently shared that his wife was hospitalized n told she had covid n only a couple of days left to live a doctor friend suggested she be tested for legionnaires disease because she wore the same mask every day all day long turns out it was legionnaires disease from the moisture n bacteria in her mask she was given antibiotics n within two days was better what if these spikes in covid are really something else due to mask induced infections,2
ythseluruh anggota grup sesuai instruksi gubernur jawa tengah hasil rapat tim gugus tugas covid 19 jateng sbb,2
kadrun kalo lihat foto ini panas dingin,0
lihat mereka sudah siap diri dengan baik untuk kuasa negri ini,2
italia punya fasilitas awat sehat canggih tapi semua gagal kendali corona karena awal itu hanya anggap sekadar lelucon dan sekarang presiden mereka menang karena tak cukup lahan untuk kubur 700an korban corona per hari mungkin hari ini sudah lebih dari 700,2
rela anak cucu kita bikin seperti anak2 rohingya ini ketika komunis kuasa,2
fadlizon semua warga indonesia yg tdk pilih prabowo di pilpres 2019 akan km usir dr indonesia serius ini si zonk httpstcojvjxc0jhmp,1
hahhahhahahhaha indonesia di penuh pki gimanah nih pa kowi,2
astaga sandiaga saran warga ngadu ke lurah saja tak perlu ke balai kota,0
hati hati panggil telpon nomor tidak kenal,0
corona is a hoax,0
nah mundur lebih hormat daripada di pecat hayo yang lain monggo undur diri saja kalau rasa tidak sanggup dan tidak becus kerja,2
bantu yang baru datang 30 orang di tes semua positif corona,2
aku mirip ashraf pria ini ingin nikah bcl,2
presiden cina xi jinping unjung masjid dan minta umat islam untuk doa di negara yang sedang landa krisis ini kami butuh bantu anda,0
jokowi mulai puc4t sby ungk4p p3l4ku k0rup51 jiwasraya duga orang belakang jokow1 heboh,2
kenal all jakarta water park,1
camat pedurungan,1
tv luar negeri sudah berita prabowo the next presiden,1
simulasi orang gila di bawa ke tps saat milu nantipertama jadi di dunia,2
jadwal hercules malam ini jam 1900 dan 0300 subuh besok di lanud makassar,1
ini alquran palsu karang orang kafir,0
konser gue 3 menang telak,2
tni umum waras kecuali wereng coklatkenapa gitu yah masa sih sejarah buruk harus ulang kembali rem bgt danjen kopassus fpi itu ormas besar dan suka bantu berantas kemahsiatan yang harus bubar ormas preman yang suka beking kemahsiatan dan suka bikin resah masyarakat,2
sebar gambar dua piagam yang nyata jika aksi 212 dapat harga dari rekor dunia,1
demo neo pki hari ini udah dapat ijin dari buntel kentut maaf ralat dari petinggi polisi tinggal tunggu gendering perang tabuh aja,0
mana ria saya pancasila mu oleh dr abdul muti med sekum pp muhamadyah,0
kabar gembira dan istimewa vietnam korban covid 19 tidak ada yng matiberita super obat virus covid 19 sudah capai informasi dari negara vietnam virus covid 19 tidak sebab mati nyata resep sangat sederhana tapi sangat ampuh hanya 1 teh2 lemonminumlah teh panas telah di campur peras lemondapat segera bunuh virus covid 19dan dapat sepenuh hilang virus covid 19 dari tubuh2 bahan ini buat sistem kebal tubuh jadi sifat basa karena ketika malam tiba sistem tubuh jadi asam mampu detensif juga akan kurang itu sebab orang vietnam santai saja dengan sebar virus covid 19 di vietnam rata2 semua orang minum gelas air panas dengan sedikit lemon di malam hari karena telah bukti bunuh virus covid 19 cara total bagi resep sakti ini kepada siapa untuk buru pahala resep sederhana ini sangat efektif karena tidak akan infeksi virus covid 19 atas izin tuhan ymeselamat coba,2
dua orang infeksi virus corona di parepare waspada ki semua tidak main main ini,2
jangan pernah remeh the simpsons the simpsons 1993 corona virus dari china,0
viral indonesia bubar ini video merry riana yang asli tonton sampai habis,2
video ada akhir jayapura mau ke bandara saja sampai 3 hari dan kawal marinir evakuasi semua yg bau jawa hancur,0
truk semi kontainer paslon 01 ini kirakira bawa apa,1
kami caleg partai gerindra dan pks tolak khilafah indonesia damai tolak khilafah di wilayah purwakarta baris muda muslim purwakarta,2
rombong aniessandi tilang dan tak milik izin patwal di puncak bogor,1
tusuk gigi sebar hiv aids,1
laku bom kampung melayu adalah anggota polisi,0
pembubabaran aji ustad khalid basalamah oleh banser nu,1
foto helikoptertank pertama di dunia buat turki dan pakistan,1
video yang tunjuk anak muslim yang siksa oleh budha di myanmar,1
foto rusuh demo anti trump di amerika serikat,0
celaka maut di air terjun uluk til belu ntt,0
gubernur jakarta anies baswedan dapat harga baik di seluruh dunia dalam tangan covid19,2
kabar kini jumlah polisi india telah tiba di indonesia untuk tertib masyarakat yg tdk mau tinggal di rumahsiapkan pantat dan minyak gosok,1
military vehicles arrived in manhattannew york wuhan coronavirus,1
manusia yg gk punya nilai dn kuwalitas gk pantas mnjdi apa di negeri ini,2
asosiasi guru bahasa dan sastra indonesia kecam anies baswedan lihai tata kata untuk bodoh warga jakarta,0
polisi tembak saksi yang tidak trima rekap pleno kpu,1
hubung dengan rekrutmen calon karyawan pada pt pindad untuk wilayah kerja liput region sulawesi,1
maradona bantah kabar diri tinggal usai laga argentina vs nigeria pada piala dunia 2018,1
bahaya makan rambutan sambil minum teh manis sebab sumbat salur napas,1
sisa video demo yang jarah warung di jakarta 4 november malam di share biar tahu laku,2
milik 51 saham taxi express oleh usaha dan bakal cagub sandiaga uno,2
perintah rencana impor beras 1 juta ton indonesia gagal swasembada,0
masih kah percaya dengan tvtidak ada satupunmedia tv siar demo tolak uu hip utama orang desa yang jauh dari jangkau mereka hanya percaya sama tv padahal tv sudah di boking rezim yang berkuasaayo rakyat buka mata dan pikiranisu covid 19 hanya pengalihanini bentuk bodoh sdm,2
mana ucap bela sungkawa presiden kepada dr dan team medis yg gugur medan covid19 tidak ada sama sekali,0
gereja minta di azankanmrk yakin krn dasar riset corona ga aktif bila di dengar azan atau alquranmashaallah,0
in america there has been looting everywhere for fear of the corona virus,0
maskapai tebang turki lari diri dari tabrak yang rencana oleh teroris dengan tanker bahan bakar ahli pilot dan putus yang ambil dalam sekian detik selamat 380 tumpang ini sebut mukjizat teroris dan khilafah harus out dari nkri,0
belum lama ini edar di media sosial surat edar yang mengatasnamakan bank indonesia bi yang isi panggil wawancara calon pegawai bi dapat pasti hoaks,0
subahanallah astagfirullah halazim allah hu akbar3 x sudah begitu sadis nya cara pikir politik pdip untuk negri ini,1
jokowi jual indonesia,1
lsf klarifikasi kait potong 7 menit durasi film avengers infinity war,0
gubernur papu lukas enembe kalau non muslim tidak boleh jadi gubernur dki atau presiden indonesia maka biar papua melanesia merdeka,1
assalamualaikum wr wb temen2 spesialisjust infobeberapa rumah sakit paksa tutup karena karyawan positif,0
info bumn warga negara australia nama antonius reiner haryanto angkat jadi direktur transformasi bisnis holding rumah sakit bumn pertamedika ini pertama kali warga negara asing jadi direksi di bumn indonesia mohon bantu sebar info ini tolakwnajadidireksibumn,0
busuk rs bokap gw sakit apa di diagnosa nya covid inti yg tinggal di rs langsung di vonis covid angka mati covid yg tingkat mungkin bukan karena covid lai data asal dari rs,0
keren yahmobil sitaanmasih bisa keluarmaha benar lembaga suci,2
sabar ya mrk tengah usaha benerin,2
ahok ganti maruf amin,1
siapsiap komsumsi garam impor dari china,1
info sangat penting,2
media online media daring,2
logo bank indonesia pecah ratus ribu dapat pada bendera tentara komunis,0
upa vidio yang jelas jika biskuit crispy crackers kandung lilin karena sangat mudah bakar,2
produsen rokok phillip morris mulai jual jenis rokok yang gandung ganja atau marijuana produk ini pasar dengan jenis marlboro m dan sedia di outlet khusus yang lisensi di negara bagi colorado dan wshington dc,2
5g antenna inside of your masks,1
pks tolak apa sandiwara,1
kata jaga jarak mutusin matarantai eh kok konser malah rame dan doi datang lagi aduhpiye iki piye toh,0
bilah sekarang,1
jadi yg mau beli,1
istana resmi pki boleh di indonesia,2
ayo temanteman mahasiswa usir para tumpang gelap ini dari baris kalian,0
departemen madam bakar rrc china siap bantu saudara dekat yaitu indonesia madam bakar hutan untuk kurang kabut asap,1
posko lawan bangkit pki di daerah glodok,0
cek tangkap layar,1
dan bersih,2
kwik kian gie,1
saya dan staf di bkd papua tidak pernah minta uang untuk janji jatah dalam terima cpns,1
save palestina,2
di halim perdanakusuma tangkap tka tiongkok dlm proyek kereta api cepat bdg jkt,2
rencana batas kendara dasar pelat nomor ganjilgenap di tol jakartacikampek akan uji coba pada selasa 2282017 uji coba sistem sebut hanya laku pada pagi hari,2
ythseluruh anggota grup sesuai instruksi gubernur dki jakarta hasil rapat tim gugus tugas covid 19 dki jakarta sbb,2
kpd teman2 banser para cebong cepat tobat sblm ajal datang dadak seperti ini,2
jembatan darurat yg bangun dlm waktu 24 jam akibat jalan tutup oleh tanah longsor telah jadi angin topan di jepang bbrp hari ini 24 jam saudarasaudara,0
israel larang nelayan palestina laut tapi allah kirim ikan ke pantai palestina maha benar allah dengan segala firman ya,2
bukan hoak tauini nyata di shoot tv one cuma bisa bhs cina,0
auto ngakak,1
biar rakyat taukalo rezim ini di pimpin yang sekarang akan di sahkan undang2 lgbt nikah antar jenislaki nikah sama lakiwanita nikah sama wanitamakanya musibah akan terus datang hampir kita semua,1
demokrat iklan jokowi di bioskop ganggu hak konsumen,0
iklan lowong kerja hamil istri lurah di gorontalo hadiah rp 10 juta,2
dpt kirim dr grup wa hoax atau bukan yaa,0
raja bahrain tiba di dubai dengan awal robot yang lengkap dengan kamera untuk lacak 360 derajat dan lengkap pistol teknologi gerak sangat cepat dari belum dalam sejarah,2
pidato di temu g20 jepang jokowi pidato hanya 60 detik alias satu menit jadi tertawa orang2 jepang,2
hebat curang kpu dan rezim pki jokowi ini,0
info baru pesawat pribadi pak prabowo tdk dapat ijin untuk darat di bandara samsudinnoor bjrmasinutk hadir haul guru kumpul hr inisungguh terlalu rezim inipdahal bukan utk kampanye,1
kenapa rakyat tak berontak,1
ada apa dgn rezim ini dl masjid istiqlal buka luas utk umat muslim maupun non muslim yg ingin ibadah maupun wisata dr daerah2 maupun dr luar tp skrg pintu pagar masjid mulai batas umat utk msk kedlm masjid,2
informasi buat warga malang selatan harap keluar rumah pukul 22302359 nanti malam karena bmkg sudah keluar rilis akan jadi gempa akibat imbas dari gempa banjarnegara hanya terus pesan demi selamat sama,0
bahaya makan kepala ikan karena kandung racun ciguatoksin,0
tolak ustadz abdul somad di hongkong rupa pesan lbp,1
foto tos edisi i love israel ada di buah supermarket daerah jakarta pusat,2
agar publik melek politik sejarah ada yg tahu siapa lakilaki di tengah soekarno dan jend soedirman saat itu saat itu beliau adalah ayahanda habieb risziq shihab berita ini sengaja di tutup sejarah oleh compeni perintah jajah saat itu ykni belanda karena khawatir umat islam satu,0
biadab banget laku mereka sama jenazah muslim,2
innalillahi wa innaillaihi roojiuun ide alquran nusantara sdh mulai realisasi astagfirullah,1
jangan beli minum seperti nata de coco ini bahaya seperti plastic tdk larut dalam perut,0
pabrik exstasi di grrebeg di tasikmalaya laku seeeemua cinamasih sekongkol dg cina,2
jadi di bandung aseng mulai pake no seri mobil china,0
apa kyai kita aku bahwa kubu mereka curang ya,0
derita gila akibat pilpres tingkat tajam di sumbar,2
korban pasien celaka yang ga pny bpjs sehat atau bpjs ketenagakerjaan,0
gawattt terb0ngkar kenapa c1n pk ingin beli semua tanah strategi indonesia,1
munir tewas bunuh satu bulan telah wawancara di stasiun televisi swasta itu jadi,1
smg manfaat nomor porsi haji reguler tahun 2018 sd tahun 2030,2
keluarga mnunggu anda,1
gedung tri akan jual,1
modus cabul dan bius oleh amen di angkut kota purwakarta,0
juang fpi tahun 1940 lawan jajah dari belanda subhanallah,0
wapres sebut idul adha tak harus makna dengan sembelih qurban,1
nama prof had pranoto sulit sekali di cari di internet ada tapi sedikit sekali padahal sejak bulan mei beliau sudah temu antibodi covid 19 ini dan sekarang antibodi covid 19 ini sudah bukti sembuh banyak orang wisma atlet pun dapat pasok obat ini dan pasien bukti sembuh,0
gera si kadrun harus di hentikankami siap tunggu komandomerdeka,2
china lapor kremasi mayat cara rahasia karena jumlah pasien virus korona lonjak lewat 7000 virus itu kini telah infeksi lebih banyak orang di china daripada sars,0
tlong jngn trlalu prcyg sm jual bkso yg selalu pindh2 sm yg dpngr jln cbk klian lihat ni tryta ad yg pngn irit gk mau bli dging jdi dia critkus pngr jln ting sbrkn ni bg ady,1
info kn bt keluarga cinta anda,2
fakta 2014 lalu jokowi tidak di wakil suara tuhan suara rakyat sehingga jadi presiden dengan curang,0
fakta dana kampanye jokowi,1
arseto pariadji serah diri ke polisi,1
menteri uang menkeu sri mulyani yang olah berita oleh buah media massa milik 1200 bitcoin,1
arti saracen yang pakai sindikat sebar benci,0
menyedihkanindonesia sbg negara mayoritas muslim besar di dunia tdk ikut dlm koalisi tentara islam dunia saing nato nya kafirpdhl 34 negara sdh gabung masuk malaysia di dalamnyamemalukan,2
ada apa benar dengan negeri ini sungguh ironis,2
ada yg bisa jelas ttg enzim rn ase yg dapat di tangan hasil oleh apa dan apakah efektif membunub bakteri yg dapat dalam makan,2
wearing a mask causes legionnaires disease,1
solusi banjir itu mudah tinggal tunggu musim kemarau,0
kait juga dengan koreksi belum di berita kembang informasi empat ton telur bansos pemprov jabar busuk di gudang simpan bulog garut httpsbitly2wwv877 tim redaksi dan periksa fakta mafindo mohon maaf atas ketidaknyamanan yang timbul lengkap di bagi jelas dan referensi,0
maka dari itu perintah kerja sama dengan seluruh provider indonesia bagi kuota besar 10gb agar kita semua tetap komunikasi,2
assalamualaikum informasi laksana psbb batas sosial skala besar akan mulai pada hari rabu tgl 23 april 2020,2
presiden china umum virus corona telah jadi epidemi dan mohon kepada umat islam doa china aljazeera,0
walikota ini janji buah jembatan di sungai dia datang lagi untuk kampanye pilih masa jabat baru lihat bagaimana publik sambut,1
gunung soputan,1
didit prabowo akan nikah para gay,1
asman justru ban,0
penting literasi media,2
kronologis insiden rso 1 palangkaraya,1
5g antenna inside of your masks,1
jokowi mo pamitpak sby rakyat senang bila anda mundur sekarang sebab kalo lebih lama negeri ini bakal karasilahkan kembali ke solomungkin bisa lanjut proyek esemka yg fenomenal itumonggo,0
islam jangan liberal,1
tadi siang saya temu dan diberitahu tetangga ruslan buton di baubau bhw la gode yang bunuh bukan tani tetapi preman di halmahera yg sangat resah masyarakat dia bunuh ketka serang asrama tni itu sebab ruslan buton dkk dapat apresiasi warga,0
google 21st birthday offer google is celebrating its 21st birthday by giving 100gb 4g free data to all users,2
taman moroseneng mem surab ya,1
perhati kepada warga indonesia supaya tanggal 21 sampai akhir bulan desember supaya senantiasa waspada karena akan ada bencana yang akan timpa negara indonesia hal ini telah sampai oleh anggota bmkg supaya selalu berhatihati,1
mahasiswa harus harga dosen selaku orang tua tapi ini malah pukul dosen selaku orang tuasemoga mahasiswa sebut beri hidayah dan bisa minta maaf dengan dosen sebut,0
lebih baik kita tidak usah dapat bantu apa dari perintah daripada tiap lembaga atau aum yang kita milik harus buat badan hukum sendirisendiri,2
koplak kompas tv demo tolak hip ga siar gilir demo pdip mereka live,1
ciduk anjing pki yang kotor masjid,0
di muara karang belakang superindo ada jadi bunuh encim2 yang bunuh rampok tapi skrg laku sdh tangkap encim tukang bakmi di pasar muara karang,2
alhamdulillah jendral purnawirawan kivlan zein dan soenarko bebas hari ini,1
bukan antem sama orang apa lagi sama pacar,1
cyclopia juga cyclocephaly atau synophthalmia adalah bentuk langka dari holoprosencephaly,2
jangan minum air es lampau banyak ingat bahwa anda saat ini sudah mulai batuk dan pilek,1
panas pilih gubernur dki jakarta banyak muncul spekulasi yang ujung pada hasut maupun fitnah seperti salah satu akun guna facebook ini yang nilai bahwa ada curang yang laku oleh pihak it dari kpu yang mati server se,0
us government funded insect spy drone and already in production,1
total kadrun idiot,0
hukum ajar ilmu filsafat,2
kenal all jakarta water park,1
after lockdown maradona atau yang jika terjemah ke bahasa indonesia telah lockdown maradona,1
hatihati lampung sudah masuk zona merah,1
risalah rapat angkat menteri bantu presiden dalam kabinet kerja jilid ii periode 2019 2024,1
manajemen citilink indonesia pasti selamat dan aman tiap terbang,2
edar surat yang risi perintah data tenaga medis dan non medis rumah sakit 2018,0
coba cek kode warna register pd pasta gigi anda letak ada ujung tengah pasta gigi,1
punya wenang apa si mantan jendral yang sengak ini,1
jne bagibagi telepon genggam samsung s7,1
cara ini buat anda bisa cegah berita bohong atau hoax sebar lebih luas dengan tahu asli dari suatu situs berita,2
di manado sudah edar bendera pki bagaimana tindak perintah apa masih larang aparat untuk tidak lebih organisasi lambang palu arit ini,0
bisnis jual fanpage,1
innalillahi wainnaillaihi rojiunkorban gowes pake masker td pagi belakang citragrand an kollautt didik hari prasetyosemoga amal ibadahnx terima allah swt,1
operasi simpatik 2020 larang bonceng untuk putus rantai covid19 yg langgar kena tilang bagen surat2 komplit ngakak njirr,1
akun twitter resmi menteri didik dan budaya menujuindonesiamaju akun kelola oleh admin,2
ada di kota wuhan china saat ini makin cekam orang teriak gak karuan,0
dwayne the rock johnson tinggal dunia di usia yang ke47 tahun telah gagal laku aksi,0
29 tokoh dukung capres 02 kena motif siapa saja mereka,2
ythirjoko widodo anda presiden pertama dan akhir prestasi di dunia hasil runtuh masjid bukan bangun masjid hahahaha jokowijokowi,0
kami bukan merah putih,1
markas indonesia ajar yg harus bebas dari penting politik jadi basecamp oleh anies di pilkada dki,2
lowong kerja komisi berantas korupsi kpk indonesia,0
info resmi dari polda diy ada modus baru tindak kriminal yang beri nama jogya yess,2
korban virus corona,0
gereja bergamo italia hari ini moga semua orang italia istirahat dengan tenang,2
uk mau di shariah kan oleh kaum ungsi suriahmereka tampung dulu karna rasa manusia oleh kaum mayoritas kristen disanatapi lihat sekarang apa yg jadi,1
informasiuntuk tenaga honorer guru dan tenaga administrasi sekarang sudah ada bijak yang beri pemerintahmenindak lanjut rekomend dari mempan rb ke bkn pusat bagi honorer umur 35 tahun keatasuntuk diankat jadi pnstanpa tes dasar kouta kosong di daerah masingmasingdan penuh persyrtan yang telah tentu lebih jelas silah konpirmasi lansung dengan drs muhiqbalbagian ada dan pangkat pns bkn pusat no wa081953388478,2
kalau kita beli aqua arti kita sumbang misionaris kristen,0
kuwait recorded 63 temperature world record on earth on saturday said newspaper al qabas see the level of destruction caused due to it recordhightemperature,0
mari rapat gera kita hingga akhir juni 26 27 28 juni prabowo subianto sandiaga salahuddin uno presiden dan wakil presiden ri 2019 2024,2
anda telah pilih untuk ambil bagi dalam survei singkat kami dan dapat 20 gb koneksi internet gratis lama 60 hari,0
menteri luar negeri klarifikasi tidak ada anakanak wni yang tahan australia,1
impor 5000 senjata api oleh polri,0
info lowong kerja puskesmas margadana,1
wearing a mask can cause pleurisy,1
benar ada negara dalam negara pantai indah kapok mau masuk pakai sepeda harus punya pasport benar ini fokusstopruuhip fokusstopruuhip,2
stasiun televisi nasional metrotv aku bahwa anies baswedan bukan gubernur dki jakarta lain presiden ri hal sebut lihat dari teks headline berita judul presiden tinjau kesiap normal baru di program selamat pagi indonesia padahal di situ adalah gambar anies baswedan yang sedang wawancara,2
muncul video matahari terbit lebih dari satu yang klaim jadi di pulau riau,1
baru saja jadi bincang hangat di kalang intelijen dua orang anggota mossad israel tangkap kamera cctv di sulawesi agen ini duga sedang latih kelompok teroris palsu yang juga sedang latih oleh brimob infovalid,0
info baru nihsdh masuk para imigran guna nama indonesia jagankrikawan,1
polisi buru ormas yang jadi dalang berita hoaks soal serang ulama,1
perintah akan ngutang lagi untuk bayar bunga utang,2
mohon info nya apakah benar foto inimasjid di daanmogot ini bangun dengan bentuk salib besar,2
cara selamat diri saat ada dalam lift apabila lift terjun tak kendali,2
hatihati orang iseng tempel sticker pki di belakang mobil,1
muncul bara api di yaman,0
batas untuk orang usia 50 tahun ke atas di era new normal a larang masuk mal atau ke pasar b larang makan di restoran atau kafe,0
biasa kadrun nyomot foto buat bikin hoax,0
akibat salah gaul koalisi antara kaum ayam dan kaum doro,0
peta sebar covid19 wilayah situbondo,1
wfh singkat dari working from home alias kerja di rumah see,2
ahh pakde bisa ajahmau dong pakde kaos presiden,1
inalilahiwainairojiun telah tinggal dunia bpk wiranto selamat jln bpk wiranto,2
seru tum psi habis nyoblos makan babi samasama,2
kece daftar pilih,1
benar saya tidak mau umbar aib orang ya saya tahu itu dosa,0
nah ini baru demo mahasiswa bro bukan yang demo bayar 40 rb bem ri tegas akan henti calon jokowi di pilpres 2019 aliansi ini nilai jika kondisi negara indonesia makin prihatin 2019gantipresiden,2
sedang viral oknum brimob dan salah orang sipir densus lempar alquran dan juga kitabkitab hadist,0
136034jpg,1
umat budha di indonesia sebut hanya diam lihat keras yang timpa suku rohingya di myanmar,0
